Player,Nation,Pos,Squad,Age,Born,Player_id,Squad_id,Flag,League,League_id
Abbey-Leigh Stringer,eng ENG,MF/DF,West Ham,27-205,1995,d2fb8712,52d65cea,https://upload.wikimedia.org/wikipedia/en/thumb/b/be/Flag_of_England.svg/35px-Flag_of_England.svg.png,https://ichef.bbci.co.uk/images/ic/1200x675/p0d3fdpm.jpg,3
Abbie McManus,eng ENG,MF/DF,Leicester City WFC,29-328,1993,6b4fff19,23bce84e,https://upload.wikimedia.org/wikipedia/en/thumb/b/be/Flag_of_England.svg/35px-Flag_of_England.svg.png,https://ichef.bbci.co.uk/images/ic/1200x675/p0d3fdpm.jpg,3
Adéle Connesson,fr FRA,FW,Stade de Reims,18-173,2004,673a5b36,e3696882,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/35px-Flag_of_France.svg.png,https://fff.twic.pics/https://media.fff.fr/uploads/images/c869d30e91c63f7bdc0d707ed18306fc.png?twic=v1/focus=auto/resize=300,5
Adja Binate Soumahoro,fr FRA,FW/MF,Paris FC,19-215,2003,67112429,28d9b675,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/35px-Flag_of_France.svg.png,https://fff.twic.pics/https://media.fff.fr/uploads/images/c869d30e91c63f7bdc0d707ed18306fc.png?twic=v1/focus=auto/resize=300,5
Adriana Achcińska,pl POL,MF,Köln,20-230,2002,d85ee236,88ddc98e,https://upload.wikimedia.org/wikipedia/en/thumb/1/12/Flag_of_Poland.svg/35px-Flag_of_Poland.svg.png,https://upload.wikimedia.org/wikipedia/de/b/b9/Frauen_bundesliga.svg,4
Adriana Leon,ca CAN,FW/MF,Manchester Utd,30-067,1992,15c7bfb7,0bbd83f6,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Canada_%28Pantone%29.svg/35px-Flag_of_Canada_%28Pantone%29.svg.png,https://ichef.bbci.co.uk/images/ic/1200x675/p0d3fdpm.jpg,3
Adriana Nanclares,es ESP,GK,Real Sociedad,20-213,2002,16417575,c21f25d3,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Flag_of_Spain.svg/35px-Flag_of_Spain.svg.png,https://pbs.twimg.com/profile_images/1675752515416014850/mdDk7mF7_400x400.jpg,2
Adrienne Jordan,us USA,DF,Turbine Potsdam,28-312,1994,f34c301f,de550500,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/35px-Flag_of_the_United_States.svg.png,https://upload.wikimedia.org/wikipedia/de/b/b9/Frauen_bundesliga.svg,4
Adrijana Mori,si SVN,FW,Turbine Potsdam,22-113,2000,3279d9c5,de550500,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Flag_of_Slovenia.svg/35px-Flag_of_Slovenia.svg.png,https://upload.wikimedia.org/wikipedia/de/b/b9/Frauen_bundesliga.svg,4
Agata Tarczyńska,pl POL,FW/MF,Werder Bremen,34-164,1988,880e474e,7adbf480,https://upload.wikimedia.org/wikipedia/en/thumb/1/12/Flag_of_Poland.svg/35px-Flag_of_Poland.svg.png,https://upload.wikimedia.org/wikipedia/de/b/b9/Frauen_bundesliga.svg,4
